Kecamatan;Desa/Kelurahan;TPS;1 PKB;2 Gerindra;3 PDIP;4 Golkar;5 Nasdem;6 Buruh;7 Gelora;8 PKS;9 PKN;10 Hanura;11 Garuda;12 PAN;13 PBB;14 Demokrat;15 PSI;16 Perindo;17 PPP;24 Umat
ADIPALA;KARANGSARI;TPS-002;11;15;45;23;5;0;1;2;0;0;0;14;0;44;2;0;2;0
ADIPALA;KARANGSARI;TPS-003;16;28;30;5;3;0;0;2;1;1;0;15;0;3;1;1;68;0
ADIPALA;KARANGSARI;TPS-004;15;39;50;7;5;4;0;0;0;0;1;13;1;1;2;1;23;0
ADIPALA;KARANGSARI;TPS-005;22;48;34;11;11;2;0;3;0;0;1;12;0;3;4;2;21;1
ADIPALA;KARANGSARI;TPS-006;38;29;40;6;5;3;2;6;0;0;0;16;0;4;1;0;29;2
ADIPALA;KARANGSARI;TPS-007;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032015/3301032015007
ADIPALA;KARANGSARI;TPS-008;16;23;57;7;10;0;2;3;0;0;0;17;0;6;2;1;22;0
ADIPALA;KARANGSARI;TPS-009;13;39;26;15;11;0;0;1;0;0;0;57;0;3;2;5;9;0
ADIPALA;KARANGSARI;TPS-010;12;32;38;7;5;3;0;4;0;1;0;46;0;5;1;1;17;2
ADIPALA;KARANGSARI;TPS-011;10;28;25;18;4;0;1;5;0;0;0;89;0;2;3;4;9;1
ADIPALA;KARANGSARI;TPS-012;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032015/3301032015012
ADIPALA;KARANGSARI;TPS-013;16;49;40;28;5;4;0;3;0;0;1;14;0;0;1;9;3;1
ADIPALA;KARANGSARI;TPS-014;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032015/3301032015014
ADIPALA;KARANGSARI;TPS-015;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032015/3301032015015
ADIPALA;KARANGSARI;TPS-016;42;19;14;23;11;2;0;20;0;2;0;3;0;2;1;1;34;0
ADIPALA;KARANGSARI;TPS-017;Data sedang diproses lihat C1 di: https://pemilu2024.kpu.go.id/pilegdprd_prov/hitung-suara/wilayah/33/3301/330103/3301032015/3301032015017
ADIPALA;KARANGSARI;TPS-018;16;34;41;29;5;0;4;3;1;0;2;7;0;2;2;4;45;0
ADIPALA;KARANGSARI;TPS-019;5;24;32;24;3;2;1;2;1;0;0;11;0;3;2;6;55;1
